original_text,actual_stars,predicted_stars,explanation,approach,json_valid
"I found this little hot spot on Yelp and used my phone to navigate me there; I wouldn't have found it otherwise.  This small establishment is hidden in a neighborhood right off of Historic Downtown Chandler.  It's a quaint little diner with modest décor.  I felt very comfortable there and the service was fast and friendly.  As I looked over the menu the first thing I saw was the Morning Monte and havarti cheese as one of the ingredients.  Cheddar isn't better; it's all about havarti folks!  I needn't look further; I knew that's what I was having.  Hawaiian bread French toast, bacon, turkey, egg and the havarti - absolutely delicious!  Can't wait to come back and bring everyone I know.",5,5,"Strong positive sentiment about the food, service, and overall experience. The reviewer explicitly states they 'absolutely' loved the Morning Monte and are eager to return.",Few-Shot,True
"oooooooooh man am I SO GLAD this place isn't near my house, I would gain 20 pounds in no time! 

My sister took me here for the first time a couple weeks ago and my mind was blown by all the unique flavors they served! 

The shop itself is very cute and modern. I like that they have a section in the back with a bunch of board games, very cool. 

As for the ice cream I got the dutch chocolate and the horchata. The horchata was so so good, I cant stop thinking about it! 

The following week I took the husband there. Again the ice cream was very good but the service was terrible. It was an older lady behind the counter and she really couldn't care less that we were standing there. She let me sample an ice cream and then I just stood there for a good 5 minutes while she did other things behind the counter. We did finally get served but my husband wasn't impressed with the serves one bit. This time I got my ice cream in a waffle cone, the cone was so light and airy, I loved it!",4,4,"Mostly positive experience with unique flavors and good ice cream, but marred by one instance of terrible service.",Few-Shot,True
"I went here for lunch a couple of weeks ago with my bosses. It was packed on a Friday - we sat at the bar and our cook was fantastic! We got to sit and chat with him while he worked away at the orders. I had the chicken pesto pasty and it was wonderful! the bread used is similar to a pastry dough type...but not as sweet. The pasty was so filling, I could barely finish it.

My bosses have been there before and have always wanted to try the peanut butter and jelly pasty - so we all split it as dessert and it was so good. They put bananas in it and drizzle jelly over the whole pasty. It's definitely rich and gooey. 

I would totally go back here again and have told my friends about it too! Amazing place.",5,5,"Strong positive sentiment: fantastic cook, wonderful food, and a desire to return.",Few-Shot,True
"Friendly, knowlegeable, GREAT coffee, cute place where you can everything from meetings to weddings, take a yoga class, and meet great people on Monday nights for Leashes and Lattes!",4,5,"Strong positive sentiment expressed through multiple positive attributes (friendly, great coffee, cute place).",Few-Shot,True
"After stopping by Gallo Blanco for breakfast our second and last time, I have to wonder when the last time was that Doug Robson set foot in his establishment?  We have been going to Gallo Blanco since it opened on a regular basis and finally decided to try breakfast a couple of weeks ago.  We showed up about an hour after they opened, requested coffee and OJ, and were told that they had no OJ because ""no one worked last night, so no one made it.""  Uh, okay, what have you slackers been doing for the hour that you've been open this morning?  Fast forward to yesterday, when we decided to give it another go.  We showed up about 45 minutes after they opened, desperately wanting a Bloody Mary.  Guess what?  The bartender hadn't showed up yet...we were walking out to go elsewhere (we REALLY wanted a Bloody Mary--don't judge) when she did arrive and we popped over and ask if she could make them--then we would have sat back down and had breakfast.  Nope, she said, she needed 15 minutes to get set up.  It wasn't the 15 minute wait that made us leave--we had to drive somewhere else, after all--but her response sent us to the door.  F you, Gallo Blanco, for hiring a parade of unsupervised, couldn't-care-less-hipsters that are slowly ruining the excellent reputation Robson worked so hard to earn.",2,1,Extremely negative sentiment due to multiple service failures and perceived lack of care from staff.,Few-Shot,True
Great food!!!  Everything on the menu is good.  The bacon guacamole burger is next to perfection.,5,5,Strong positive sentiment about the food quality and menu options.,Few-Shot,True
"They had me at Baked.Goat.Cheese.   The appetizers were phenomenal, we got the Bake Goat Cheese that came with their freshly baked brick oven bread and my bf got the Romaine salad with fuji apple & bacon.  But the baked cheese was by far the better of the two.

Main courses also didn't disappoint we ordered the white fish and hanger steak.  I only had a bite of the fish so I can't speak that much to it, the bf enjoyed it.. it had too much lemon in the sauce for me, but I hate lemon flavoring so it's probably better to take his word for it!   The steak had this amazing sauce that accompanied it that added such a nice flavor to compliment the steak.  Both entrees were pretty good size portions, especially after appetizers. And we also split a side of sweet corn polenta that we couldn't finish

The actual restaurant its self is very open, there is an outside covered patio and a smaller patio for the bar that's out in the open.  

Valet only, complementary

Sat Night wait time: approx 20 mins

Clientele: On Sat night we had a big table of your typical Scottsdale Cougars, average couples and groups ranging from mid 20s to 60s and a bachelorette party of 4 girls who were barely 21 (not the typical place for a bachelorette party)",4,5,"Strong positive sentiment about the appetizers and main courses, especially the baked goat cheese and hanger steak. The reviewer also mentions the restaurant's ambiance and short wait time.",Few-Shot,True
"Meh..not particularly memorable.
I've eaten at this location and the one by ASU, though I like this location better. I would probably only eat here if I was walking by and I was starving. 
The cookies ROCK though, I like that you get one with your sandwich. And they have my favorite flavor of Jones Soda (Sugar-free Black Cherry) which kicked ass. 

Warning: The roast beef sandwich (Overture?) comes with horseradish sauce and it is hot as a mother.  I like the spice but it was almost unbearable. My nose pretty much turned into a snotty waterfall. 

Go to Opa Grill next door instead.",3,3,"Mixed sentiments. The reviewer likes the cookies and soda, but finds the sandwich too spicy and suggests going to a different restaurant instead. The overall tone is lukewarm.",Few-Shot,True
"My sweet tooth was yelling at me! I had to stop in. Four times (to date) and each time I try something different. Other than the cheese curds (which where just ok) each visit was for the frozen custard. 
VERY RICH and CREAMY a little goes a LOOOOONG way. I have tried a small berry sundae, a pineapple malt, and a small black cherry cheesecake concrete mixer. 

The sundae by far has been my favorite. I love the simplicity, the berries were not overly sweet, strangely artificially thickened. 

The malt was nice and malty which I really appreciated and was rather thick even after melting slightly. 

Now the concrete mixer was the richest of the rich. Maybe it was because I decided to go with a cheesecake flavor (to which you can add any other fruit or topping flavor). It was very tart like cream cheese (about as tart as a good Greek yogurt) with small bits of graham crumbs swirled through and of course the blackberry flavor.",3,4,"Largely positive review focusing on the frozen custard and various flavors. The reviewer enjoyed the sundae and malt, and while the concrete mixer was very rich, it was still appreciated. The cheese curds were the only negative point, but the overall sentiment is positive.",Few-Shot,True
"Oooohhhh baby I loooove your way...everyday...yeeeaaaahhh.

I wanna be with you night and day....

Went back to the swizzle last night and fell in love again.

With pool.
With dives.
With football.
With beer.
With diversity.
With the random atrium.
With the jukebox.
With life.

How can you beat pool and beer, combined with an awesome location, a diverse crowd, and a room full of people screaming at the TV because football is on? Then top that with the weird quirkiness that makes me warm and fuzzy on the inside...the atrium, a lovely bathroom and random bumper stickers at the bar. 

The End.",5,5,Extremely positive sentiment expressed through enthusiastic language and appreciation for multiple aspects of the establishment.,Few-Shot,True
"My wife and I just got married at Blackstone, and I'm still amazed at how awesome they are to work with.  Elizabeth, Megan, and Alicia all worked tirelessly to make our wedding memorable.  The location couldn't have been better, I'm still getting compliments on how beautiful it was.  We read the glowing reviews prior to booking, and all I can say is that I agree with them 100%.",5,5,Extremely positive sentiment expressing amazement and satisfaction with the wedding venue and staff.,Few-Shot,True
Great place to go before heading to the zoo. Not a lot of seating if you're with a big party,5,4,"Generally positive experience, but seating limitations mentioned.",Few-Shot,True
"I absolutely love this regional park! The only pitfall is the cost of admission.....Seems to me that a park should be free to enter but I understand that there are costs for maintenance as well. Buying an annual park pass makes the most sense if you plan on making repeat visits. Beautiful views of the valley from any trail. All levels of intensity for hiking, biking and the like. Hard to believe the mountain is surrounded by houses because it seems so serene when visiting.",4,4,"Overall positive sentiment due to beautiful views and variety of trails, slightly offset by the admission cost.",Few-Shot,True
"Luci's is a good neighborhood spot to buy your health foods, drop in for a coffee or fresh made baked good, or pick up some beer or frozen meat on the way home.  I agree with Pamela's sentiment about it being a marriage of TJ's and Hi-Health with AJ's prices. 

I've had a couple of bad cups of coffee here, but in the 10-12 times I've been they have always been very nice and have remedied any problem very quickly. If it wasn't on my route, I may not stop here much though. Trader Joe's and Hi-Health are right next door to each other at 20/Camelback and you can save a ton of money if you do it that way!",3,4,"Generally positive experience with good service recovery, although not a destination spot.",Few-Shot,True
Wow!  Went on a Sunday around 11am - busy but not packed.  Roomy and comfortable.  GREAT food.  Bacon meaty and tasy.  I had the french toast on recommendation and it was fantastic.  Great atmosphere...just an all around great place.  We were in from LA for a baseball game and wanted a non-chain local place and found this place on Yelp.  Glad we went!,5,5,"Strong positive sentiment expressed through words like 'GREAT,' 'fantastic,' and 'great atmosphere.' The reviewer was very satisfied with the food and overall experience.",Few-Shot,True
"Over-priced for the size of the facility and equipment available. The staff is friendly enough, and seeing as how its the closest 24 hour fitness place in this neighborhood, i suppose they get away with the price :)",3,3,"Negative sentiment about the price and size, but positive about the staff and convenience.",Few-Shot,True
"Pretty good place.  You never actually know who is your server because several different people actually wait on you.  The service can be slow at times which can get annoying.  The space is pretty big, bigger than what it seems from the street.  The food was so-so.",3,3,"Mixed sentiments: 'Pretty good place' but service is inconsistent and slow, food is 'so-so'.",Few-Shot,True
"Located in the W Hotel in Old Town Scottsdale, this hipster hangout is always busy.  I recommend a reservation if you're planning to dine here.  The Better Half and I drop in here from time to time.  Since I don't eat Sushi, I order:

Ji-Dori Chicken Skewers withTeriyaki Sauce - $10
http://www.yelp.com/biz_photos/DwP10iEz5LGf3fhcVQZm0Q?select=x_60nAIMvJX9k_s9HAPiOA

Filet Mignon wrapped Asparagus with Soy Mirin Sauce - $15
http://www.yelp.com/biz_photos/DwP10iEz5LGf3fhcVQZm0Q?select=19cHPtx8ahwZTPC5xIARFQ
http://www.yelp.com/biz_photos/DwP10iEz5LGf3fhcVQZm0Q?select=_4XhXTuYKQnypHmylm-mQg

And for Dessert, a warm Chocolate Cake...yum!
http://www.yelp.com/biz_photos/DwP10iEz5LGf3fhcVQZm0Q?select=KoyBtoSTBrhM2dLD8zs_PA
http://www.yelp.com/biz_photos/DwP10iEz5LGf3fhcVQZm0Q?select=iKBiwthdGtENIqWfGK1V1A

The Chicken Skewers are very tasty.  The Teriyaki Sauce they are glazed are sweet and have the right amount of ""sour"" kick to it to balance the flavor.  The Filet Mignon wrapped Asparagus is awesome...the Filet is tender and juicy and the Asparagus compliments it well.  Of course, the Chocolate Cake dessert is a nice ending for the meal.

The service can be a bit slow at times, depends on the server.  Generally speaking, it's pretty good considering how busy they are.

The people watching here is pretty good...watching all of the hipsters is hilarious.

Return Factor - 93%",4,4,"Positive descriptions of the food (chicken skewers, filet mignon, chocolate cake) outweigh the slightly negative comment about slow service. The 'Return Factor - 93%' also indicates a high likelihood of return.",Few-Shot,True
"I got a coupon at a past Yelp event to try them out and I'm SO glad I did!  Massage Envy really exceeded my wildest expectations for a chain that offers affordable rates for massage therapy.  I was pleasantly surprised by the level of expertise and professionalism that I experienced!

My massage therapist was Dannie and she worked through my trigger points and loosened my tight muscles with an intuition that I have rarely experienced.

I highly recommend this place and hope to return soon!",5,5,Strongly positive experience with exceptional service and expertise.,Few-Shot,True
"Four Peaks serves up some great beers and great eats.  This is no secret so no matter which day out of the year or which hour and minute out of the day you go you will see a full patio, and a populated bar.  Plan accordingly.  Try their Italian beer bread, the Carne Adovada, or the Southwest burger and wash it down with a pint of Hop Knot or Kilt Lifter.  You will be happy you did.  All of Four Peaks' menu items are appropriately priced and you will always leave satisfied.",5,5,"Strong positive sentiment about the beer, food, and overall experience. Mentions specific dishes and beers, indicating satisfaction.",Few-Shot,True
"An Ode to Walmart: It's Walmart

A senior citizen handing out carts at the door.  My cart doesn't roll straight.  I'm not surprised.  There are no baskets, just carts.  Is that a hint?

It's Walmart.

More babies than a daycare.  More seniors than a senior center.  And tattoos for everyone.

It's Walmart.

Cardboard kingdoms of snacks, a tower of cheese balls bigger than you head for $5.98 each, a wall of ramen labeled ""Cup-O-Soup,"" and a kid putting cheese balls bigger than your head into his family's cart.

It's Walmart.

Fifty cent clearance plastic margarita glasses.  A crate of $5 DVDs bigger than my bathtub.  The PA announces ""All loaders, code 60.  All loaders, code 60.""

It's Walmart.

A pharmacy, vision center, credit union, grocery store, hair dresser, automotive section, toy store, bike shop, Home Depot, and Office Depot all under one roof.  I think I got lost twice.

It's Walmart.

Profits measured one penny at a time.  Is Walmart a savior for the poor or does Walmart enable poverty?  Economist can't decide.  Does Walmart help the environment by working with vendors to reduce and remove packaging, and engaging in some environmental friendly projects.  Environmentalists have decided.

It's Walmart.

Self-checkout with a weight sensor to keep you honest.  They've never checked my receipt at the exit.  Is it because I'm white?

It's Walmart.

Patrons leave their carts at the bus stop.  Where did that hour of my life go?",2,3,"The review is mostly neutral and observational, describing the Walmart experience. While not explicitly negative, it's not particularly positive either. The tone is somewhat sarcastic and questioning, suggesting a mixed feeling.",Few-Shot,True
"As mentioned earlier, the best thing about this place is the super cheap, but super delicious lunch bentos.  You get a main dish, rice, salad, and an orange for under $4. If that's not enough, you can get double meat for a buck or two more.  I highly recommend the ginger pork or the katsu.  My friend I normally go with is a big fan of the white fish (fried or grilled).  The sushi here isn't bad.  It's nothing super special, but I don't come here for the sushi so it's not a big knock against the place.

As they would say on ebay: A+++ Great Seller! Would eat here again!!!",5,5,"Strong positive sentiment due to cheap and delicious food, recommendations, and explicit statement of wanting to return.",Few-Shot,True
"Best gyros I've had in the East Valley so far.  The place is nice, but the service was very slow when I went there with a group of people for lunch.  It was my first time there, and maybe I caught them on a bad day?  I'll definitely be back again...",4,4,"Positive sentiment about the food quality (best gyros) and the place itself, but negative sentiment regarding slow service. The reviewer is willing to return, suggesting an overall positive experience.",Few-Shot,True
"I had high hopes for the Habit since I live only a couple miles away, but it was mostly disappointing for me.  I'm vegetarian, so I have no idea how their meat burgers taste, and they may be the best in the world for all I know, but the veggie burger was a tasteless lump for the most part.  I do give them kudos for having a veggie burger, but either put more effort into it, or take it off the menu and go full-on meat!

The service was nice, and I like the design of the place, but there are too many good veggie burgers to be had in the Valley to waste my time eating this one.  Parking lot is super-cramped, so if you need your meatburger fix, then don't come right at 12 or 6, unless you want to park in someone's yard.",2,2,"The review expresses disappointment with the veggie burger, despite praising the service and design. The negative experience with the food outweighs the positives.",Few-Shot,True
"I spent almost 2 years searching for a good nail salon in the North Scottsdale area and I will never go anywhere else again.  It is very clean, the girls are very nice, and they always do a really good job on my nails.  They are upfront about their pedicure prices - they hand you a price sheet that tells you exactly what you get for each upgrade - instead of pressuring you into getting something better and then upcharging you.  I think their prices are super reasonable as well.  For the best pedicure and a french gel manicure I pay $70.  I usually make appointments (Sunday mornings are nicely uncrowded), but I've also walked in and been taken fairly quickly.  I love this place and will recommend it to anyone who asks!",5,5,"Extremely positive sentiment. The reviewer praises the cleanliness, staff, quality of work, pricing transparency, reasonable prices, and overall experience. They highly recommend the salon.",Few-Shot,True
"I love that walking through the doors of the Sugar Bowl is like taking a step back in time but what I don't love is that it looks like it hasn't been cleaned or had any restoration work done since the day it opened. Lets be honest though, I didn't come here for the decor, I came for the ice cream. 

I was very excited when I saw the sundae covered in chocolate, cherries and marshmallow creme. I love marshmallow creme and chocolate, always a recipe for success when these two ingredients are combined. Well, no luck. They were out of marshmallow creme. I got a brownie sundae instead, only ate half and decided that it was only ok. 

I probably won't go back to this place. There are too many good dessert options out there. Though if my friends insisted, I would more than likely oblige.",3,3,Mixed feelings. Positive nostalgia but negative experience with the food and cleanliness. Ultimately unlikely to return.,Few-Shot,True
"Stinkweeds shaped my formative years.  Really.

I started shopping at the (now gone) Tempe location when I was 15.  I had a few older friends into independent music who introduced me to this record store.  I begged my parents for rides and, when that wasn't happening, hopped on the bus for the hour-long trek.  Totally worth it.  100%.  I can't tell you how many awesome bands I began listening to just because I would browse the selection endlessly for something that looked interesting.  If I needed something specifically, Stinkweeds would order it for me if they didn't already have it in stock.  The staff was always welcoming and helpful, sometimes offering their own suggestions.

But it's just a record store, right?  Wrong.  Stinkweeds is the jewel of Phoenix, as far as I am concerned.  Now that it's out in central Phoenix, I make it in far less.  Total bummer!",5,5,"Strong positive sentiment due to the reviewer's formative experience and high praise for the store's selection, staff, and overall value.",Few-Shot,True
"Lately I have been addicted to a good Caprese style sandwich and Pane Bianco's is AWESOME!  I read the previous reviews so I went there expecting a crowd and nowhere to sit.  This did not detract from the experience for me because the quality and freshness of the food was more than enough to get and keep my attention.  The staff were very friendly and helpful, being from the Atlantic Northeast I have high expectations when it comes to Italian done well with personality to boot. I did not want to wait till I got home to eat my so good smelling prize so I went outside to find picnic style tables and benches.  It was way to hot to sit outside and I was craving iced coffee so I went next door to Lux and was both surprised and relieved to find many of their patrons with Pane Bianco bags openly eating their lunches with drinks from Lux to claim patronage.  Can't wait for a hopefully air-conditioned expansion.",5,5,"Strong positive sentiment due to the reviewer's addiction to the sandwich, high praise for food quality and freshness, and friendly staff.",Few-Shot,True
"I can't stand 50's retro but this place is the cuteness. Well...I haven't technically been inside. Now, I knew this was a hipster hangout, but I wasn't expecting the cute girl in the apron or the boy with tattoos to actually be working on the other side of that window. They didn't seem to mind that I was slightly drenched in sweat having walked there under the sun of a blazing March afternoon. They were quite nice and gave my sister and I a bowl of water for our doggies. Tattoo boy said he would even make us more fries if we wanted. The fries ($2) were not the best  and neither was my grilled cheese ($4) with tomato (yum!) and pickles (?). However, the food had a nice home-made quality to it and was all ready in about a minute. Peeps are right about the high-quality ingredients and the food is inexpensive. Holler.

P.S. Don't forget the Ca$hM0nayyy
or to borrow from a sibling!",4,4,"Despite some criticism of the fries and grilled cheese, the reviewer praises the staff's friendliness, the homemade quality, inexpensive prices, and high-quality ingredients. The positive aspects outweigh the negatives.",Few-Shot,True
"The food is always awesome.  Best in the area.   

The people behind the counter need to pull their heads out of their asses.  Don't be rude to me if I ask for an extra bag to carry my food.  I'd be happy to let the food drop to the floor for you to clean up.",4,3,"The review expresses strong positive sentiment about the food quality but strong negative sentiment about the customer service. Balancing these, a 3-star rating seems appropriate.",Few-Shot,True
"So last Monday the hubs and I got invited out to join some friends for $3 burgers at Maizies ($4 if you add cheese)

For 4 burgers (All with cheese on them) and 4 beers our total bill was only $30!!!!!!!! That is a smoking deal if I ever did see one! 

Our burgers came out fast and hot. They serve them on chibata bread! They give you a little side of chipotle mayo that is delicious, but not enough to cover a burger.


Our waiter was super fast and friendly! We will for sure be going back",4,5,"Positive sentiment due to the great deal, fast and hot burgers, delicious chipotle mayo, and friendly waiter. The reviewer explicitly states they will return.",Few-Shot,True
"Okay, judging a Vietnamese restaurant on the decor is a little jaded IMHO.  Ambience is certainly a factor when dining, and if that's your most pressing criteria you're probably not fit to go into most Vietnamese places.
Pholicious does a great job with their food-went their for lunch over the weekend and tried their oxtail pho which was very good.  My buddy had chicken & vegetable chow fun which was also delicious.  Sizable portions and the most unique serving of Thai iced coffee I think I've ever had.  Almost like a half old time Italian espresso pot on top of a coffee cup that holds the coffee and condensed milk.  You're supposed to stir this then add the contents to the accompanying glass of ice.  Unlike dummy me who just dumped it in the ice :)",4,4,"Positive sentiment regarding the food quality (oxtail pho, chow fun), portion sizes, and unique Thai iced coffee presentation. The initial comment about decor is a minor detractor but doesn't significantly impact the overall positive experience.",Few-Shot,True
"My favorite thing about this place is the decor. It is crazy beautiful.

I also like that you can get better than average bar food until late and there are so many places to sit, you'll never have an issue with waiting.

Their food is okay, but nothing spectacular. 

I used to live in Arcadia, and I miss it every day. If I were to move back to Phoenix/Scottsdale- I would never even consider a different neighborhood. Across the board, it is the friendliest and most beautiful neighborhood in Maricopa County.

That being said- The Vig represents the lame element of the neighborhood. People with too much money and bad taste. I think someone else called it ""schmoozy"" and that's exactly it!

As a neighbor, we usually rode our bikes- so I can't speak to parking. Do they not still have the shuttle?

Give me The Great Escape, JTs or Postinos any day.",2,2,"Mixed sentiments. Positive aspects include decor and seating, but food is just okay and the reviewer dislikes the clientele.",Few-Shot,True
The food was good and all prepared as I waited.  Looks like a long list of wide ranging bad foods that make you feel so good!,4,4,Positive sentiment about the food quality and preparation.,Few-Shot,True
"Cool place but don't try to arrange a special event. The proprietor was arragont, unflexible and unethical when I held my friend's bachelorette party at The Duce. Be warned!",1,1,"Strong negative sentiment due to arrogance, inflexibility, and unethical behavior of the proprietor during a special event.",Few-Shot,True
"The greatest community that I've ever been a part of!  Gilbert Crossfit isn't just a place where you can get in the best shape of your life... it is a community of friends that share the same outlook on life, support eachother in everything they do and truly care about one another.  Getting in shape and doing things you never thought possible is just the added benefit of being part of this group. 

If you are looking to get in shape, live a long healthy life, and have fun with a great group of people... come by Gilbert Crossfit.. You'll never go back to a Globo Gym again!",5,5,Extremely positive sentiment expressing strong community and life-changing benefits.,Few-Shot,True
"I cant get enough of the Chicken Pesto with Feta sandwich here.  This place has a great sandwich for a reasonable price.

My only complaint is that they literally put mushrooms on EVERYTHING, but, if you are a mushroom fan, live it up. 

On another not, if you like fresh lemonade, you must get a glass of it here.  It goes great with any sandwich.

If you are in a Pasta mood, The chicken pesto pasta is excellent.",4,5,"Strong positive sentiment about the food quality and reasonable prices, outweighing the minor complaint about mushrooms.",Few-Shot,True
"Eyebrows are a very touchy subject. I'm literally convinced that unless you make some serious cash, finding an excellent and meticulous aesthetician is like finding a needle in a haystack. Well, Yelpers, I've been searching in this haystack for three months too long, and each time I leave thinking, ""They really don't listen to what I requested and I wasted money."" So, I decided, no longer was I going to leave spending $20.00 (tip included) on mediocre brows. I went back to doing my own, and I am completely satisfied.  Plus, the music selection is terrible. A positive, it's neat that they text you a 24 hour reminder notice. However, you better be sure you show up, because they do charge fees for tardies and no-shows.",3,2,"The reviewer expresses dissatisfaction with the eyebrow service, stating that the aesthetician didn't listen to their requests and that they wasted money. They are now doing their own eyebrows and are more satisfied. The music selection is also terrible. While there's a positive about the reminder texts, the fees for tardiness and no-shows are a negative.",Few-Shot,True
